,Description,Links,Response,date
0,"My Home by Freddie Mac®
Resources to help you rent, buy and own your home.",http://myhome.freddiemac.com/,1,2017-09-19 22:58:06
1,"Do we own your mortgage?
Find out if Freddie Mac owns your loan using our secured lookup tool.",https://ww3.freddiemac.com/loanlookup/,1,2017-09-19 22:58:06
2,"Homes for Sale
Buy a home from HomeSteps®, the real estate sales unit of Freddie Mac.",https://www.homesteps.com/,1,2017-09-19 22:58:09
3,My Home by Freddie Mac®,http://myhome.freddiemac.com/,1,2017-09-19 22:58:09
4,Do we own your mortgage?,https://ww3.freddiemac.com/loanlookup/,1,2017-09-19 22:58:10
5,Homes for Sale,https://www.homesteps.com/,1,2017-09-19 22:58:10
6,Press Release Archive,http://freddiemac.mwnewsroom.com/,1,2017-09-19 22:58:10
7,Careers,http://www.freddiemac.jobs/,1,2017-09-19 22:58:11
8,,https://twitter.com/intent/tweet/?text=http://www.freddiemac.com&via=freddiemac,1,2017-09-19 22:58:11
9,,https://www.facebook.com/sharer/sharer.php?u=http://www.freddiemac.com,1,2017-09-19 22:58:11
10,,https://www.linkedin.com/,1,2017-09-19 22:58:12
11,Careers,http://www.freddiemac.jobs/,1,2017-09-19 22:58:12
12,,https://www.youtube.com/freddiemac,1,2017-09-19 22:58:13
13,,https://www.facebook.com/FreddieMac,1,2017-09-19 22:58:14
14,,https://www.linkedin.com/company/3140,0,2017-09-19 22:58:14
15,,https://twitter.com/FreddieMac,1,2017-09-19 22:58:15
